,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,B,B,B,B,B,W,B,B,,
,,,,4,B,B,B,B,B,W,B,B,,
,,,,5,W,W,W,W,W,B,W,W,,
,,,,6,W,W,B,W,W,B,W,W,,
,,,,7,B,B,B,B,B,W,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
180,5,X/H/Y/Z,All black,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,W,W,B,B,,
,,,,5,B,B,B,W,W,B,B,B,,
,,,,6,W,W,W,B,W,-,+,W,,
,,,,7,B,B,B,B,B,-,-,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
181,5,X/H/Y/Z,All black,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,-,B,B,,
,,,,2,B,B,B,B,W,-,B,B,,
,,,,3,B,B,B,B,W,-,B,B,,
,,,,4,B,B,B,B,W,-,B,B,,
,,,,5,-,-,-,-,-,W,-,-,,
,,,,6,W,W,W,W,B,+,W,W,,
,,,,7,B,B,B,B,W,-,B,B,,
,,,,8,B,B,B,B,W,-,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
182,5,X/H/Y/Z,All black,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,B,B,B,B,B,W,B,B,,
,,,,4,B,B,B,B,B,W,B,B,,
,,,,5,B,B,B,B,-,W,-,B,,
,,,,6,B,B,B,B,-,W,-,B,,
,,,,7,B,B,B,B,W,B,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
183,5,X/H/Y/Z,All black,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,-,B,B,,
,,,,2,B,B,B,B,W,-,B,B,,
,,,,3,+,+,+,+,-,W,+,+,,
,,,,4,B,B,B,B,W,+,B,B,,
,,,,5,B,B,B,B,W,-,B,B,,
,,,,6,B,B,B,B,W,-,B,B,,
,,,,7,B,B,B,B,W,-,B,B,,
,,,,8,B,B,B,B,W,-,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
184,5,X/H/Y/Z,All black,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,W,B,B,B,B,B,,
,,,,2,B,B,W,B,B,B,B,B,,
,,,,3,B,B,W,B,B,B,B,B,,
,,,,4,-,-,+,+,+,-,-,-,,
,,,,5,B,B,W,W,-,-,B,B,,
,,,,6,W,W,B,W,+,+,W,W,,
,,,,7,B,B,W,B,B,B,B,B,,
,,,,8,B,B,W,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
185,5,X/H/Y/Z,All black,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,+,B,B,B,,
,,,,2,B,B,B,B,+,B,B,B,,
,,,,3,-,-,-,-,W,-,-,-,,
,,,,4,B,B,B,B,+,B,B,B,,
,,,,5,W,W,+,+,-,W,W,W,,
,,,,6,B,B,-,-,+,B,B,B,,
,,,,7,B,B,B,B,+,B,B,B,,
,,,,8,B,B,B,B,+,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
186,5,X/H/Y/Z,All black,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,+,+,+,+,-,-,-,+,,
,,,,4,B,B,B,B,W,W,W,B,,
,,,,5,B,B,B,B,B,W,B,B,,
,,,,6,B,B,B,B,B,W,B,B,,
,,,,7,B,B,B,B,B,W,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
187,5,X/H/Y/Z,All black,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,B,+,+,B,,
,,,,5,-,-,-,-,+,B,B,-,,
,,,,6,B,B,B,B,B,W,W,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
188,5,X/H/Y/Z,All black,5,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,B,B,B,,
,,,,2,B,B,B,B,W,B,B,B,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,-,-,-,-,+,-,-,-,,
,,,,5,W,W,W,W,B,B,B,W,,
,,,,6,B,B,B,B,W,W,W,B,,
,,,,7,B,B,B,B,W,B,B,B,,
,,,,8,B,B,B,B,W,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
189,5,X/H/Y/Z,All black,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,-,B,B,B,B,,
,,,,2,B,B,B,-,B,B,B,B,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,B,+,W,W,W,W,,
,,,,5,B,B,W,+,B,B,B,B,,
,,,,6,-,-,-,B,-,-,-,-,,
,,,,7,B,B,B,-,B,B,B,B,,
,,,,8,B,B,B,-,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
190,5,X/H/Y/Z,All black,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,+,B,B,B,B,,
,,,,2,B,B,B,+,B,B,B,B,,
,,,,3,W,W,W,-,W,W,W,W,,
,,,,4,B,B,B,+,B,B,B,B,,
,,,,5,B,B,-,W,B,B,B,B,,
,,,,6,B,B,-,B,B,B,B,B,,
,,,,7,B,B,B,-,B,B,B,B,,
,,,,8,B,B,B,+,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
191,5,X/H/Y/Z,All black,5,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,B,W,B,B,,
,,,,2,B,B,B,W,B,W,B,B,,
,,,,3,B,B,B,W,B,W,B,B,,
,,,,4,B,B,B,B,B,B,B,B,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,B,B,B,W,B,W,B,B,,
,,,,7,B,B,B,W,B,W,B,B,,
,,,,8,B,B,B,W,B,W,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
192,5,X/H/Y/Z,All black,8,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,-,B,B,,
,,,,2,B,B,B,B,B,-,B,B,,
,,,,3,+,+,+,W,W,W,+,+,,
,,,,4,B,B,B,-,-,+,B,B,,
,,,,5,B,B,B,B,W,+,B,B,,
,,,,6,B,B,B,B,B,-,B,B,,
,,,,7,B,B,B,B,B,-,B,B,,
,,,,8,B,B,B,B,B,-,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
193,5,X/H/Y/Z,All black,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,W,B,W,B,B,B,,
,,,,2,B,B,W,B,W,B,B,B,,
,,,,3,-,-,+,-,-,-,-,-,,
,,,,4,B,B,W,B,W,B,B,B,,
,,,,5,B,B,W,B,W,B,B,B,,
,,,,6,-,-,+,+,-,-,-,-,,
,,,,7,B,B,W,W,B,B,B,B,,
,,,,8,B,B,W,B,W,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
194,5,X/H/Y/Z,All black,10,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,W,B,B,B,B,,
,,,,4,-,-,-,+,-,-,-,-,,
,,,,5,W,W,B,W,W,W,W,W,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
195,5,X/H/Y/Z,All white,8,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,-,+,W,W,,
,,,,5,W,W,W,W,B,W,W,W,,
,,,,6,W,W,W,W,+,-,W,W,,
,,,,7,W,W,W,W,B,B,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
196,5,X/H/Y/Z,All white,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,W,W,+,W,W,,
,,,,4,W,W,W,W,B,-,W,W,,
,,,,5,W,W,W,W,B,-,B,W,,
,,,,6,W,W,W,W,W,B,-,W,,
,,,,7,W,W,W,W,W,W,+,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
197,5,X/H/Y/Z,All black,7,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,-,B,B,B,,
,,,,2,B,B,B,B,-,B,B,B,,
,,,,3,B,B,B,B,-,B,B,B,,
,,,,4,B,B,B,B,-,B,B,B,,
,,,,5,B,B,B,W,-,W,B,B,,
,,,,6,W,W,W,B,W,-,W,W,,
,,,,7,B,B,B,B,B,-,B,B,,
,,,,8,B,B,B,B,-,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
198,5,X/H/Y/CNOT/SWAP/Z,All black,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,B,B,B,B,B,B,W,B,,
,,,,4,-,-,-,-,+,+,-,-,,
,,,,5,B,B,B,B,B,W,B,B,,
,,,,6,-,-,-,-,+,+,-,-,,
,,,,7,B,B,B,B,B,W,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
199,5,X/H/Y/CNOT/SWAP/Z,All black,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,B,B,B,,
,,,,2,B,B,B,B,W,B,B,B,,
,,,,3,B,B,B,B,W,B,W,B,,
,,,,4,+,+,+,+,-,-,-,+,,
,,,,5,B,B,B,B,W,B,B,B,,
,,,,6,B,B,B,B,W,B,B,B,,
,,,,7,B,B,B,B,W,B,B,B,,
,,,,8,B,B,B,B,W,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
200,5,X/H/Y/CNOT/SWAP/Z,All black,10,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,W,B,,
,,,,3,+,+,+,+,-,-,-,+,,
,,,,4,B,B,B,B,W,W,W,B,,
,,,,5,B,B,B,B,B,B,B,B,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
201,5,X/H/Y/CNOT/SWAP/Z,All black,8,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,-,B,B,B,B,B,,
,,,,2,B,B,-,B,B,B,B,B,,
,,,,3,-,-,W,B,-,-,-,-,,
,,,,4,W,W,-,B,-,W,W,W,,
,,,,5,B,B,-,B,B,B,B,B,,
,,,,6,B,B,-,B,B,B,B,B,,
,,,,7,B,B,-,B,B,B,B,B,,
,,,,8,B,B,-,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
202,5,X/H/Y/CNOT/SWAP/Z,All black,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,B,B,B,B,,
,,,,5,W,W,W,W,B,B,W,W,,
,,,,6,-,-,+,-,+,-,+,-,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
203,5,X/H/Y/CNOT/SWAP/Z,All black,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,-,B,B,B,B,,
,,,,2,B,B,B,-,B,B,B,B,,
,,,,3,W,W,W,-,W,W,W,W,,
,,,,4,B,B,B,-,B,W,B,B,,
,,,,5,B,B,B,-,W,W,B,B,,
,,,,6,W,W,W,+,W,W,W,W,,
,,,,7,B,B,B,-,B,B,B,B,,
,,,,8,B,B,B,-,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
204,5,X/H/Y/CNOT/SWAP/Z,All black,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,-,B,B,B,,
,,,,2,B,B,B,B,-,B,B,B,,
,,,,3,B,B,B,B,-,B,B,B,,
,,,,4,W,W,W,W,+,W,B,W,,
,,,,5,-,-,-,-,B,+,+,-,,
,,,,6,B,B,B,B,-,B,B,B,,
,,,,7,B,B,B,B,-,B,B,B,,
,,,,8,B,B,B,B,-,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
205,5,X/H/Y/CNOT/SWAP/Z,All white,5,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,-,W,W,W,,
,,,,2,W,W,W,W,-,W,W,W,,
,,,,3,W,W,W,B,-,W,W,W,,
,,,,4,B,B,W,B,+,B,B,B,,
,,,,5,W,W,W,W,-,W,W,W,,
,,,,6,B,B,B,B,+,B,B,B,,
,,,,7,W,W,W,W,-,W,W,W,,
,,,,8,W,W,W,W,-,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
206,5,X/H/Y/CNOT/SWAP/Z,All white,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,+,W,B,B,B,B,W,,
,,,,4,+,+,W,-,-,+,+,+,,
,,,,5,W,W,W,B,B,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
207,5,X/H/Y/CNOT/SWAP/Z,All white,8,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,B,W,W,W,W,,
,,,,3,B,B,B,W,W,B,W,B,,
,,,,4,W,W,W,B,B,B,W,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,B,W,W,W,W,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
208,5,X/H/Y/CNOT/SWAP/Z,All white,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,B,W,W,W,,
,,,,2,W,W,W,B,B,W,W,W,,
,,,,3,W,W,W,B,B,W,W,W,,
,,,,4,B,B,B,W,W,+,B,B,,
,,,,5,+,+,+,-,-,W,+,+,,
,,,,6,W,W,W,B,B,W,W,W,,
,,,,7,W,W,W,B,B,W,W,W,,
,,,,8,W,W,W,B,B,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
209,5,X/H/Y/CNOT/SWAP/Z,All white,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,+,W,W,B,W,W,,
,,,,2,W,W,+,W,B,B,W,W,,
,,,,3,B,B,-,W,B,W,B,B,,
,,,,4,W,W,+,W,W,B,W,W,,
,,,,5,+,+,W,+,+,-,+,+,,
,,,,6,W,W,+,W,W,B,W,W,,
,,,,7,W,W,+,W,W,B,W,W,,
,,,,8,W,W,+,W,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
210,5,X/H/Y/CNOT/SWAP/Z,All white,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,B,W,W,W,,
,,,,6,W,W,W,B,B,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
211,5,X/H/Y/CNOT/SWAP/Z,All white,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,B,W,W,W,,
,,,,2,W,W,B,W,B,W,W,W,,
,,,,3,W,W,B,W,B,W,W,W,,
,,,,4,W,W,W,B,B,B,W,W,,
,,,,5,B,B,B,W,W,W,B,B,,
,,,,6,W,W,B,W,B,W,W,W,,
,,,,7,W,W,B,W,B,W,W,W,,
,,,,8,W,W,B,W,B,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
212,5,X/H/Y/CNOT/SWAP/Z,All white,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,-,W,W,W,W,,
,,,,2,W,W,W,-,W,W,W,W,,
,,,,3,W,W,W,-,W,W,W,W,,
,,,,4,W,W,W,-,W,W,W,W,,
,,,,5,W,W,W,+,B,B,W,W,,
,,,,6,+,+,+,B,+,-,+,+,,
,,,,7,W,W,W,-,W,W,W,W,,
,,,,8,W,W,W,-,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
213,5,X/H/Y/CNOT/SWAP/Z,All white,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,+,+,W,W,,
,,,,5,B,B,B,B,B,-,B,B,,
,,,,6,W,W,W,B,B,-,W,W,,
,,,,7,W,W,W,B,B,-,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
214,5,X/H/Y/CNOT/SWAP/Z,All white,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,B,-,W,W,W,,
,,,,4,W,W,W,B,-,W,W,W,,
,,,,5,+,+,+,W,+,+,+,+,,
,,,,6,B,B,B,-,B,B,B,B,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
215,5,X/H/Y/CNOT/SWAP/Z,All white,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,B,W,W,,
,,,,2,W,W,W,+,W,B,W,W,,
,,,,3,W,W,W,+,W,B,W,W,,
,,,,4,+,+,-,B,+,+,+,+,,
,,,,5,W,W,W,W,+,B,W,W,,
,,,,6,W,W,W,W,+,B,W,W,,
,,,,7,W,W,W,+,W,B,W,W,,
,,,,8,W,W,W,+,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
216,5,X/H/Y/CNOT/SWAP/Z,All white,5,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,-,-,-,B,-,-,-,-,,
,,,,5,+,+,W,+,+,+,+,+,,
,,,,6,W,W,+,W,W,W,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
217,5,X/H/Y/CNOT/SWAP/Z,All white,5,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,-,W,W,,
,,,,2,W,W,W,W,W,-,W,W,,
,,,,3,W,W,W,W,W,-,W,W,,
,,,,4,W,W,W,W,W,-,W,W,,
,,,,5,B,B,B,B,W,+,B,B,,
,,,,6,B,B,B,B,W,+,B,B,,
,,,,7,W,W,W,W,W,-,W,W,,
,,,,8,W,W,W,W,W,-,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
218,4,X/H/Y/CNOT/SWAP/Z,All white,5,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,W,+,W,W,,
,,,,6,W,W,W,+,+,+,B,W,,
,,,,7,W,W,W,+,+,B,B,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
219,5,X/H/Y/CNOT/SWAP/Z,All white,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,B,-,W,W,W,W,,
,,,,5,W,W,B,-,B,W,W,W,,
,,,,6,W,W,+,W,+,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
220,5,X/H/Y/CNOT/SWAP/Z,All white,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,B,W,-,W,W,,
,,,,4,W,W,W,W,W,-,W,W,,
,,,,5,W,W,W,B,W,+,W,W,,
,,,,6,W,W,W,W,W,-,W,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
221,5,X/H/Y/CNOT/SWAP/Z,All white,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,-,W,W,,
,,,,2,W,W,W,W,W,-,W,W,,
,,,,3,W,W,W,W,W,B,+,W,,
,,,,4,W,W,W,W,W,B,-,W,,
,,,,5,W,W,W,W,W,+,B,W,,
,,,,6,W,W,W,W,W,-,W,W,,
,,,,7,W,W,W,W,W,-,W,W,,
,,,,8,W,W,W,W,W,-,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
222,5,X/H/Y/CNOT/SWAP/Z,All white,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,+,+,-,W,W,+,+,+,,
,,,,5,W,W,W,-,W,W,W,W,,
,,,,6,W,W,B,-,W,W,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
223,5,X/H/Y/CNOT/SWAP/Z,All white,7,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,W,+,W,W,W,W,,
,,,,5,W,W,B,+,B,B,W,W,,
,,,,6,W,W,W,+,B,B,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
224,5,X/H/Y/CNOT/SWAP/Z,All white,8,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,W,W,W,W,B,B,W,W,,
,,,,6,B,B,B,W,W,-,-,B,,
,,,,7,W,W,B,W,W,+,+,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
225,4,X/H/Y/CNOT/SWAP/Z,All white,6,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,-,B,W,W,W,W,,
,,,,4,W,W,+,-,-,W,W,W,,
,,,,5,W,W,W,B,B,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
226,5,X/H/Y/CNOT/SWAP/Z,All white,9,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,W,+,W,W,W,,
