,1 bit gate,2 bit gate,,,pieces,,,,,,,,,
,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,B,B,B,B,B,W,B,B,,
,,,,4,B,B,B,B,B,W,B,B,,
,,,,5,B,B,B,B,-,W,-,B,,
,,,,6,B,B,B,B,-,W,-,B,,
,,,,7,B,B,B,B,W,B,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
183,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,-,B,B,,
,,,,2,B,B,B,B,W,-,B,B,,
,,,,3,+,+,+,+,-,W,+,+,,
,,,,4,B,B,B,B,W,+,B,B,,
,,,,5,B,B,B,B,W,-,B,B,,
,,,,6,B,B,B,B,W,-,B,B,,
,,,,7,B,B,B,B,W,-,B,B,,
,,,,8,B,B,B,B,W,-,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
184,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,W,B,B,B,B,B,,
,,,,2,B,B,W,B,B,B,B,B,,
,,,,3,B,B,W,B,B,B,B,B,,
,,,,4,-,-,+,+,+,-,-,-,,
,,,,5,B,B,W,W,-,-,B,B,,
,,,,6,W,W,B,W,+,+,W,W,,
,,,,7,B,B,W,B,B,B,B,B,,
,,,,8,B,B,W,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
185,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,+,B,B,B,,
,,,,2,B,B,B,B,+,B,B,B,,
,,,,3,-,-,-,-,W,-,-,-,,
,,,,4,B,B,B,B,+,B,B,B,,
,,,,5,W,W,+,+,-,W,W,W,,
,,,,6,B,B,-,-,+,B,B,B,,
,,,,7,B,B,B,B,+,B,B,B,,
,,,,8,B,B,B,B,+,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
186,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,+,+,+,+,-,-,-,+,,
,,,,4,B,B,B,B,W,W,W,B,,
,,,,5,B,B,B,B,B,W,B,B,,
,,,,6,B,B,B,B,B,W,B,B,,
,,,,7,B,B,B,B,B,W,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
187,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,B,+,+,B,,
,,,,5,-,-,-,-,+,B,B,-,,
,,,,6,B,B,B,B,B,W,W,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
188,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,B,B,B,,
,,,,2,B,B,B,B,W,B,B,B,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,-,-,-,-,+,-,-,-,,
,,,,5,W,W,W,W,B,B,B,W,,
,,,,6,B,B,B,B,W,W,W,B,,
,,,,7,B,B,B,B,W,B,B,B,,
,,,,8,B,B,B,B,W,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
189,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,-,B,B,B,B,,
,,,,2,B,B,B,-,B,B,B,B,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,B,+,W,W,W,W,,
,,,,5,B,B,W,+,B,B,B,B,,
,,,,6,-,-,-,B,-,-,-,-,,
,,,,7,B,B,B,-,B,B,B,B,,
,,,,8,B,B,B,-,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
190,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,+,B,B,B,B,,
,,,,2,B,B,B,+,B,B,B,B,,
,,,,3,W,W,W,-,W,W,W,W,,
,,,,4,B,B,B,+,B,B,B,B,,
,,,,5,B,B,-,W,B,B,B,B,,
,,,,6,B,B,-,B,B,B,B,B,,
,,,,7,B,B,B,-,B,B,B,B,,
,,,,8,B,B,B,+,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
191,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,B,W,B,B,,
,,,,2,B,B,B,W,B,W,B,B,,
,,,,3,B,B,B,W,B,W,B,B,,
,,,,4,B,B,B,B,B,B,B,B,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,B,B,B,W,B,W,B,B,,
,,,,7,B,B,B,W,B,W,B,B,,
,,,,8,B,B,B,W,B,W,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
192,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,-,B,B,,
,,,,2,B,B,B,B,B,-,B,B,,
,,,,3,+,+,+,W,W,W,+,+,,
,,,,4,B,B,B,-,-,+,B,B,,
,,,,5,B,B,B,B,W,+,B,B,,
,,,,6,B,B,B,B,B,-,B,B,,
,,,,7,B,B,B,B,B,-,B,B,,
,,,,8,B,B,B,B,B,-,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
193,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,W,B,W,B,B,B,,
,,,,2,B,B,W,B,W,B,B,B,,
,,,,3,-,-,+,-,-,-,-,-,,
,,,,4,B,B,W,B,W,B,B,B,,
,,,,5,B,B,W,B,W,B,B,B,,
,,,,6,-,-,+,+,-,-,-,-,,
,,,,7,B,B,W,W,B,B,B,B,,
,,,,8,B,B,W,B,W,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
194,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,W,B,B,B,B,,
,,,,4,-,-,-,+,-,-,-,-,,
,,,,5,W,W,B,W,W,W,W,W,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
195,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,-,+,W,W,,
,,,,5,W,W,W,W,B,W,W,W,,
,,,,6,W,W,W,W,+,-,W,W,,
,,,,7,W,W,W,W,B,B,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
196,5,X/H/Y/Z,All white,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,W,W,+,W,W,,
,,,,4,W,W,W,W,B,-,W,W,,
,,,,5,W,W,W,W,B,-,B,W,,
,,,,6,W,W,W,W,W,B,-,W,,
,,,,7,W,W,W,W,W,W,+,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
197,5,X/H/Y/Z,All black,,,,,,,,,,,auto generated (N=6, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,-,B,B,B,,
,,,,2,B,B,B,B,-,B,B,B,,
,,,,3,B,B,B,B,-,B,B,B,,
,,,,4,B,B,B,B,-,B,B,B,,
,,,,5,B,B,B,W,-,W,B,B,,
,,,,6,W,W,W,B,W,-,W,W,,
,,,,7,B,B,B,B,B,-,B,B,,
,,,,8,B,B,B,B,-,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
198,5,X/H/Y/CNOT/SWAP/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,B,B,B,B,B,B,W,B,,
,,,,4,-,-,-,-,+,+,-,-,,
,,,,5,B,B,B,B,B,W,B,B,,
,,,,6,-,-,-,-,+,+,-,-,,
,,,,7,B,B,B,B,B,W,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
199,5,X/H/Y/CNOT/SWAP/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,B,B,B,,
,,,,2,B,B,B,B,W,B,B,B,,
,,,,3,B,B,B,B,W,B,W,B,,
,,,,4,+,+,+,+,-,-,-,+,,
,,,,5,B,B,B,B,W,B,B,B,,
,,,,6,B,B,B,B,W,B,B,B,,
,,,,7,B,B,B,B,W,B,B,B,,
,,,,8,B,B,B,B,W,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
200,5,X/H/Y/CNOT/SWAP/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,W,B,,
,,,,3,+,+,+,+,-,-,-,+,,
,,,,4,B,B,B,B,W,W,W,B,,
,,,,5,B,B,B,B,B,B,B,B,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
201,5,X/H/Y/CNOT/SWAP/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,-,B,B,B,B,B,,
,,,,2,B,B,-,B,B,B,B,B,,
,,,,3,-,-,W,B,-,-,-,-,,
,,,,4,W,W,-,B,-,W,W,W,,
,,,,5,B,B,-,B,B,B,B,B,,
,,,,6,B,B,-,B,B,B,B,B,,
,,,,7,B,B,-,B,B,B,B,B,,
,,,,8,B,B,-,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
202,5,X/H/Y/CNOT/SWAP/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,B,B,B,B,,
,,,,5,W,W,W,W,B,B,W,W,,
,,,,6,-,-,+,-,+,-,+,-,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
203,5,X/H/Y/CNOT/SWAP/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,-,B,B,B,B,,
,,,,2,B,B,B,-,B,B,B,B,,
,,,,3,W,W,W,-,W,W,W,W,,
,,,,4,B,B,B,-,B,W,B,B,,
,,,,5,B,B,B,-,W,W,B,B,,
,,,,6,W,W,W,+,W,W,W,W,,
,,,,7,B,B,B,-,B,B,B,B,,
,,,,8,B,B,B,-,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
204,5,X/H/Y/CNOT/SWAP/Z,All black,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,-,B,B,B,,
,,,,2,B,B,B,B,-,B,B,B,,
,,,,3,B,B,B,B,-,B,B,B,,
,,,,4,W,W,W,W,+,W,B,W,,
,,,,5,-,-,-,-,B,+,+,-,,
,,,,6,B,B,B,B,-,B,B,B,,
,,,,7,B,B,B,B,-,B,B,B,,
,,,,8,B,B,B,B,-,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
205,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,-,W,W,W,,
,,,,2,W,W,W,W,-,W,W,W,,
,,,,3,W,W,W,B,-,W,W,W,,
,,,,4,B,B,W,B,+,B,B,B,,
,,,,5,W,W,W,W,-,W,W,W,,
,,,,6,B,B,B,B,+,B,B,B,,
,,,,7,W,W,W,W,-,W,W,W,,
,,,,8,W,W,W,W,-,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
206,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,+,W,B,B,B,B,W,,
,,,,4,+,+,W,-,-,+,+,+,,
,,,,5,W,W,W,B,B,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
207,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,B,W,W,W,W,,
,,,,3,B,B,B,W,W,B,W,B,,
,,,,4,W,W,W,B,B,B,W,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,B,W,W,W,W,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
208,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,B,W,W,W,,
,,,,2,W,W,W,B,B,W,W,W,,
,,,,3,W,W,W,B,B,W,W,W,,
,,,,4,B,B,B,W,W,+,B,B,,
,,,,5,+,+,+,-,-,W,+,+,,
,,,,6,W,W,W,B,B,W,W,W,,
,,,,7,W,W,W,B,B,W,W,W,,
,,,,8,W,W,W,B,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
209,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,+,W,W,B,W,W,,
,,,,2,W,W,+,W,B,B,W,W,,
,,,,3,B,B,-,W,B,W,B,B,,
,,,,4,W,W,+,W,W,B,W,W,,
,,,,5,+,+,W,+,+,-,+,+,,
,,,,6,W,W,+,W,W,B,W,W,,
,,,,7,W,W,+,W,W,B,W,W,,
,,,,8,W,W,+,W,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
210,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,B,W,W,W,,
,,,,6,W,W,W,B,B,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
211,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,B,W,W,W,,
,,,,2,W,W,B,W,B,W,W,W,,
,,,,3,W,W,B,W,B,W,W,W,,
,,,,4,W,W,W,B,B,B,W,W,,
,,,,5,B,B,B,W,W,W,B,B,,
,,,,6,W,W,B,W,B,W,W,W,,
,,,,7,W,W,B,W,B,W,W,W,,
,,,,8,W,W,B,W,B,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
212,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,-,W,W,W,W,,
,,,,2,W,W,W,-,W,W,W,W,,
,,,,3,W,W,W,-,W,W,W,W,,
,,,,4,W,W,W,-,W,W,W,W,,
,,,,5,W,W,W,+,B,B,W,W,,
,,,,6,+,+,+,B,+,-,+,+,,
,,,,7,W,W,W,-,W,W,W,W,,
,,,,8,W,W,W,-,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
213,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,+,+,W,W,,
,,,,5,B,B,B,B,B,-,B,B,,
,,,,6,W,W,W,B,B,-,W,W,,
,,,,7,W,W,W,B,B,-,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
214,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,B,-,W,W,W,,
,,,,4,W,W,W,B,-,W,W,W,,
,,,,5,+,+,+,W,+,+,+,+,,
,,,,6,B,B,B,-,B,B,B,B,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
215,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,B,W,W,,
,,,,2,W,W,W,+,W,B,W,W,,
,,,,3,W,W,W,+,W,B,W,W,,
,,,,4,+,+,-,B,+,+,+,+,,
,,,,5,W,W,W,W,+,B,W,W,,
,,,,6,W,W,W,W,+,B,W,W,,
,,,,7,W,W,W,+,W,B,W,W,,
,,,,8,W,W,W,+,W,B,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
216,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,-,-,-,B,-,-,-,-,,
,,,,5,+,+,W,+,+,+,+,+,,
,,,,6,W,W,+,W,W,W,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
217,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,-,W,W,,
,,,,2,W,W,W,W,W,-,W,W,,
,,,,3,W,W,W,W,W,-,W,W,,
,,,,4,W,W,W,W,W,-,W,W,,
,,,,5,B,B,B,B,W,+,B,B,,
,,,,6,B,B,B,B,W,+,B,B,,
,,,,7,W,W,W,W,W,-,W,W,,
,,,,8,W,W,W,W,W,-,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
218,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,W,+,W,W,,
,,,,6,W,W,W,+,+,+,B,W,,
,,,,7,W,W,W,+,+,B,B,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
219,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,B,-,W,W,W,W,,
,,,,5,W,W,B,-,B,W,W,W,,
,,,,6,W,W,+,W,+,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
220,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,B,W,-,W,W,,
,,,,4,W,W,W,W,W,-,W,W,,
,,,,5,W,W,W,B,W,+,W,W,,
,,,,6,W,W,W,W,W,-,W,W,,
,,,,7,W,W,W,W,W,+,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
221,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,-,W,W,,
,,,,2,W,W,W,W,W,-,W,W,,
,,,,3,W,W,W,W,W,B,+,W,,
,,,,4,W,W,W,W,W,B,-,W,,
,,,,5,W,W,W,W,W,+,B,W,,
,,,,6,W,W,W,W,W,-,W,W,,
,,,,7,W,W,W,W,W,-,W,W,,
,,,,8,W,W,W,W,W,-,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
222,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,+,+,-,W,W,+,+,+,,
,,,,5,W,W,W,-,W,W,W,W,,
,,,,6,W,W,B,-,W,W,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
223,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,W,+,W,W,W,W,,
,,,,5,W,W,B,+,B,B,W,W,,
,,,,6,W,W,W,+,B,B,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
224,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,W,W,W,W,B,B,W,W,,
,,,,6,B,B,B,W,W,-,-,B,,
,,,,7,W,W,B,W,W,+,+,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
225,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,-,B,W,W,W,W,,
,,,,4,W,W,+,-,-,W,W,W,,
,,,,5,W,W,W,B,B,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
226,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,W,+,W,W,W,,
,,,,4,B,B,W,-,-,B,B,B,,
,,,,5,+,+,-,B,W,+,+,+,,
,,,,6,W,W,W,W,+,W,W,W,,
,,,,7,W,W,W,W,+,W,W,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
227,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,+,+,+,+,W,W,+,+,,
,,,,6,B,B,B,+,B,+,W,B,,
,,,,7,W,W,W,W,W,B,B,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
228,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,W,W,W,W,B,B,B,W,,
,,,,5,B,B,B,B,B,W,W,B,,
,,,,6,W,W,W,W,B,B,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
229,5,X/H/Y/CNOT/SWAP/Z,All white,,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,-,W,W,W,W,W,,
,,,,2,W,W,-,W,W,W,W,W,,
,,,,3,B,B,+,B,B,B,B,B,,
,,,,4,W,W,-,W,W,W,W,W,,
,,,,5,+,+,B,+,+,+,+,+,,
,,,,6,W,W,-,W,B,B,W,W,,
,,,,7,W,W,-,W,W,W,W,W,,
,,,,8,W,W,-,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
